Id,Price
725,163897.8774745619
15856,225377.54550435004
5480,200618.3186795645
15664,349148.65869377897
14275,141453.4424608857
7633,209373.26403021356
13329,171852.40087477065
5502,208335.33614194542
4220,298758.0863872245
11538,213145.11336501653
15975,269970.3588971024
3310,216535.9846406857
9286,150206.13560343315
11260,187094.13237185375
5214,104520.35912590491
11307,184887.19377738002
13543,370696.6425843776
615,177071.00259362892
3495,226713.50015236367
2321,241525.3066236313
12046,184748.25192045662
16688,138996.24452173343
12694,229781.55447376778
783,154980.28973444478
8968,170641.9333044146
13454,179678.28658074653
12190,287702.6039810469
11160,112424.21322617144
10291,199115.40981963044
891,272537.75327358744
2982,180702.963343322
3818,265600.3002968057
2449,195006.82826299063
8317,169080.25852291257
4922,176792.05208497136
1257,243746.98760634023
9348,216864.17405523837
4176,186575.58135850722
10704,170284.28272202602
6624,113765.70121009159
5428,196639.35488890752
12749,178820.3473237291
8994,193397.30704970277
11513,144000.52081488597
3047,181099.75813513788
9519,208636.8394072991
12309,239609.743709525
14081,275306.05184559425
8334,252541.4045206667
6343,178170.51071153264
14788,131589.2463782481
15748,396594.44318479736
153,249957.44793503507
14149,188296.7900403271
269,196879.81205340722
5452,135430.68393721434
721,167634.02700770125
5079,363556.9112486743
2831,119934.49440173076
10614,108981.88363591206
10131,279929.8527123868
9996,300606.872961899
3061,204605.15500815705
11733,341575.38856538443
3726,275969.27636997
10929,216744.037418172
9011,367369.26964519836
16182,278876.49808737397
4976,184453.41430925974
9897,239210.02114895548
1872,146636.3962179604
9205,379435.4712865088
5403,388884.6673685645
14074,204723.92136803377
6268,154897.55896558193
14232,172214.67734319612
8532,267020.6858406382
7034,328805.2736408
6553,516389.3696869582
3133,175811.10237696636
8596,204863.2324042143
12389,252760.00285305694
14462,178549.43769444237
8860,352842.782107001
8377,289911.9769457278
6367,307717.6433124473
6917,257424.197787394
4216,191785.9414110743
5806,171770.51356838192
5438,189021.93350226546
6632,195713.81925825618
2650,161398.76233607126
5396,223523.239142521
4044,155632.5153895808
1345,212282.85020809664
